"","x"
"757",NA
"758",78.7916666666667
"759",NA
"760",NA
"761",NA
"762",NA
"763",NA
"764",90.4583333333333
"765",NA
"766",60.1805555555556
"767",NA
"768",NA
"769",NA
"770",NA
"771",81.0714285714286
"772",NA
"773",NA
"774",80.3541666666667
"775",NA
"776",76.5531914893617
"777",87.2291666666667
"778",78.7916666666667
"779",NA
"780",NA
"781",72.0694444444444
"782",NA
"783",NA
"784",83.375
"785",NA
"786",NA
"787",60.1805555555556
"788",NA
"789",56.8611111111111
"790",NA
"791",NA
"792",81.0714285714286
"793",NA
"794",90.1702127659574
"795",NA
"796",NA
"797",NA
"798",NA
"799",NA
"800",NA
"801",76.5531914893617
"802",89.9375
"803",84.9142857142857
"804",NA
"805",NA
"806",73.6571428571429
"807",NA
"808",74.1830985915493
"809",NA
"810",NA
"811",91.4583333333333
"812",59.0714285714286
"813",NA
"814",NA
"815",NA
"816",NA
"817",NA
"818",NA
"819",NA
"820",79.5416666666667
"821",NA
"822",NA
"823",NA
"824",NA
"825",88.2916666666667
"826",NA
"827",86.3125
"828",NA
"829",91.4583333333333
"830",NA
"831",NA
"832",NA
"833",80.0869565217391
"834",NA
"835",84.9142857142857
"836",NA
"837",78.0416666666667
"838",73.6571428571429
"839",NA
"840",79.5416666666667
"841",NA
"842",74.1830985915493
"843",NA
"844",NA
"845",59.0714285714286
"846",NA
"847",NA
"848",NA
"849",NA
"850",73.6571428571429
"851",78.0416666666667
"852",NA
"853",NA
"854",84.0416666666667
"855",NA
"856",96.112676056338
"857",NA
"858",NA
"859",59.0714285714286
"860",NA
"861",NA
"862",NA
"863",NA
"864",84.9142857142857
"865",89.9375
"866",NA
"867",NA
"868",73.6571428571429
"869",NA
"870",79.5416666666667
"871",84.0416666666667
